Metal,Substrate,theta,Temp,Me_MagpieData mean Number,Me_MagpieData mean MendeleevNumber,Me_MagpieData mean AtomicWeight,Me_MagpieData mean MeltingT,Me_MagpieData mean Column,Me_MagpieData mean Row,Me_MagpieData mean CovalentRadius,Me_MagpieData mean Electronegativity,Me_MagpieData mean NsValence,Me_MagpieData mean NpValence,Me_MagpieData mean NdValence,Me_MagpieData mean NfValence,Me_MagpieData mean NValence,Me_MagpieData mean NsUnfilled,Me_MagpieData mean NpUnfilled,Me_MagpieData mean NdUnfilled,Me_MagpieData mean NUnfilled,Me_MagpieData mean GSvolume_pa,Me_MagpieData mean GSbandgap,Me_MagpieData mean GSmagmom,Me_MagpieData mean SpaceGroupNumber,Ce_MagpieData mean Number,Ce_MagpieData mean MendeleevNumber,Ce_MagpieData mean AtomicWeight,Ce_MagpieData mean MeltingT,Ce_MagpieData mean Column,Ce_MagpieData mean Row,Ce_MagpieData mean CovalentRadius,Ce_MagpieData mean Electronegativity,Ce_MagpieData mean NsValence,Ce_MagpieData mean NpValence,Ce_MagpieData mean NdValence,Ce_MagpieData mean NfValence,Ce_MagpieData mean NValence,Ce_MagpieData mean NsUnfilled,Ce_MagpieData mean NpUnfilled,Ce_MagpieData mean NdUnfilled,Ce_MagpieData mean NfUnfilled,Ce_MagpieData mean NUnfilled,Ce_MagpieData mean GSvolume_pa,Ce_MagpieData mean GSbandgap,Ce_MagpieData mean GSmagmom,Ce_MagpieData mean SpaceGroupNumber
Sn0.7Al0.3,Al2O3,66,1273,38.9,77.9,91.19146158,633.597,13.7,4.4,133.6,1.855,2,1.7,7,0,10.7,0,4.3,0,4.3,28.2435,0,0,166.2,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.4Al0.6,Al2O3,67,1273,27.8,75.8,63.67292316,762.114,13.4,3.8,128.2,1.75,2,1.4,4,0,7.4,0,4.6,0,4.6,23.202,0,0,191.4,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Sn0.1Al0.9,Al2O3,70,1273,16.7,73.7,36.15438474,890.631,13.1,3.2,122.8,1.645,2,1.1,1,0,4.1,0,4.9,0,4.9,18.1605,0,0,216.6,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Al,Al2O3,81,1373,13,73,26.9815386,933.47,13,3,121,1.61,2,1,0,0,3,0,5,0,5,16.48,0,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu,Al2O3,138,1350,29,64,63.546,1357.77,11,4,132,1.9,1,0,10,0,11,1,0,0,1,11.07,0,0,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.905Ti0.095,Al2O3,30,1350,28.335,62.005,62.056495,1413.17685,10.335,4,134.66,1.8658,1.095,0,9.24,0,10.335,0.905,0,0.76,1.665,11.6039,0,2.14E-06,222.055,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.874Ti0.126,Al2O3,20,1350,28.118,61.354,61.570446,1431.25698,10.118,4,135.528,1.85464,1.126,0,8.992,0,10.118,0.874,0,1.008,1.882,11.77812,0,2.84E-06,221.094,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Cu0.874Ti0.126,Al2O3,38,1350,28.118,61.354,61.570446,1431.25698,10.118,4,135.528,1.85464,1.126,0,8.992,0,10.118,0.874,0,1.008,1.882,11.77812,0,2.84E-06,221.094,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.5Pd0.5,Al2O3,113,1523,37,61.5,82.5567,1778.025,10,4.5,131.5,2.055,1,0,9,0,10,0,0,1,1,12.365,0,0.29769735,225,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
Ni0.475Pd0.475Ti0.05,Al2O3,97,1523,36.25,60.575,80.822215,1786.17375,9.7,4.475,132.925,2.02925,1.05,0,8.65,0,9.7,0,0,1.35,1.35,12.58125,0,0.282813609,223.45,10,81.4,20.39225544,406.268,14.8,2.4,88,2.708,2,2.8,0,0,4.8,0,3.2,0,0,3.2,12.055,0,0,97.2
