Metal,Ceramic,Testing temperature (K),Wetting angle
Ga0.97Ti0.03,Ca1F2,1173,61
Sn0.955Ti0.045,Ca1F2,1173,53
In0.995Ti0.005,Ca1F2,1123,40
In0.985Ti0.015,Ca1F2,1123,37
In0.97Ti0.03,Ca1F2,1123,29
Cu,Ca1F2,1423,112
Cu0.95Ti0.05,Ca1F2,1423,109
Cu0.85Ti0.15,Ca1F2,1423,110
Cu0.75Ti0.25,Ca1F2,1423,110
Cu0.6Ti0.4,Ca1F2,1423,113
Ga,Sr1F2,373,144.9315068
Ga,Sr1F2,473,140
Ga,Sr1F2,573,136.1643836
Ga,Sr1F2,673,133.1506849
Ga,Sr1F2,773,129.0410959
Ga,Sr1F2,873,126.3013699
Ga,Sr1F2,973,123.2876712
Ga,Sr1F2,1073,119.1780822
Ga,Sr1F2,1173,116.9863014
In,Sr1F2,473,157.8082192
In,Sr1F2,573,154.7945205
In,Sr1F2,673,149.8630137
In,Sr1F2,773,143.8356164
In,Sr1F2,873,140
In,Sr1F2,973,135.890411
In,Sr1F2,1073,133.1506849
Sn,Sr1F2,523,156.1643836
Sn,Sr1F2,573,152.6027397
Sn,Sr1F2,673,145.7534247
Sn,Sr1F2,773,142.1917808
Sn,Sr1F2,873,135.0684932
Sn,Sr1F2,973,133.1506849
Sn,Sr1F2,1073,126.0273973
Sn,Sr1F2,1173,121.0958904
Sn,Sr1F2,1273,118.0821918
Sn,Sr1F2,1373,115.890411
Sn,Sr1F2,1423,112.0547945
Pb,Sr1F2,623,133.9726027
Pb,Sr1F2,673,131.2328767
Pb,Sr1F2,773,127.9452055
Pb,Sr1F2,873,124.9315068
Pb,Sr1F2,973,122.4657534
Pb,Sr1F2,1073,116.9863014
Al,Sr1F2,973,121.9178082
Al,Sr1F2,1073,115.890411
Al,Sr1F2,1173,109.8630137
Al,Sr1F2,1273,100.2739726
Ag,Sr1F2,1273,130.1369863
Ag,Sr1F2,1373,124.3835616
Ag,Sr1F2,1423,120.2739726
Au,Sr1F2,1373,132.8767123
Au,Sr1F2,1423,126.3013699
Cu,Sr1F2,1373,140
Cu,Sr1F2,1423,133.1506849
Cu,Sr1F2,1473,126.0273973
In,Ca1F2,973,137.9715022
In,Sr1F2,973,136.1543719
In,Ba1F2,973,132.2372364
In,Mg1F2,973,126.3610074
Cu,Ca1F2,1423,135.0344392
Cu,Sr1F2,1423,133.0753457
Cu,Ba1F2,1423,130.2781429
Cu,Mg1F2,1423,121.6057627
Au,Ca1F2,1423,128.1802408
Au,Sr1F2,1423,126.2221989
Au,Ba1F2,1423,120.4868815
Au,Mg1F2,1423,115.7305852
Ag,Ca1F2,1373,125.9435302
Ag,Sr1F2,1373,124.1242968
Ag,Ba1F2,1373,118.390031
Ag,Mg1F2,1373,114.4728955
Ga,Ca1F2,1073,123.0054156
Ga,Sr1F2,1073,122.4459751
Ga,Ba1F2,1073,112.376045
Ga,Mg1F2,1073,108.5998212
Pb,Ca1F2,973,122.0263947
Pb,Sr1F2,973,119.2291919
Pb,Ba1F2,973,116.2910773
Pb,Mg1F2,973,111.6756927
Sn,Ca1F2,1373,117.9704506
Sn,Sr1F2,1373,116.1522688
Sn,Ba1F2,1373,110.5578632
Sn,Mg1F2,1373,107.3400284
Al,Sr1F2,1273,100.348073
Al,Ba1F2,1273,98.38897944
Al,Mg1F2,1273,95.59177664
Cu0.638Ti0.362,Mg1F2,1423,118
Cu0.244Ti0.756,Ba1F2,1473,123
Ni0.259Ti0.741,Ba1F2,1473,111
Cu0.427Ti0.573,Sr1F2,1473,119
Cu0.589Zr0.411,Sr1F2,1473,110
Ni0.259Ti0.741,Sr1F2,1473,114
Ni0.4Zr0.6,Sr1F2,1523,119
Cu0.427Ti0.573,Ca1F2,1473,116
Cu0.589Zr0.411,Ca1F2,1473,108
Ni0.259Ti0.741,Ca1F2,1473,111
Ni0.4Zr0.6,Ca1F2,1523,124
Al,Ca1F2,973,131.2624894
Al,Ca1F2,1073,118.350244
Al,Ca1F2,1173,111.2655875
Al,Ca1F2,1273,102.1934784
Al,Ca1F2,1373,101.2005267
Al,Ca1F2,1423,123.483851
Al,Ca1F2,1523,133.6170707
Al,Sr1F2,973,121.9928743
Al,Sr1F2,1073,116.0994501
Al,Sr1F2,1173,108.6166834
Al,Sr1F2,1273,100.2052513
Al,Sr1F2,1373,98.68174425
Al,Sr1F2,1423,119.5104949
Al,Sr1F2,1523,130.4391604
Sn0.952Ti0.048,Ca1F2,973,65
Sn0.952Ti0.048,Ca1F2,1173,32
Sn0.952Ti0.048,Ca1F2,1273,28
Sn0.952Ti0.048,Ca1F2,1373,88
Sn0.952Ti0.048,Sr1F2,973,65
Sn0.952Ti0.048,Sr1F2,1173,32
Sn0.952Ti0.048,Sr1F2,1273,28
Sn0.952Ti0.048,Sr1F2,1373,88
Cu0.66Ti0.34,Ca1F2,1173,87.19613044
Cu0.66Ti0.34,Ca1F2,1223,82.43407708
Cu0.66Ti0.34,Ca1F2,1273,90.70993915
Cu0.66Ti0.34,Ca1F2,1323,108.7158683
Cu0.66Ti0.34,Ca1F2,1373,116.5735684
Cu0.66Ti0.34,Sr1F2,1173,82.69620846
Cu0.66Ti0.34,Sr1F2,1223,79.72538618
Cu0.66Ti0.34,Sr1F2,1273,88.00124824
Cu0.66Ti0.34,Sr1F2,1323,105.5702918
Cu0.66Ti0.34,Sr1F2,1373,113.4279919
Sn0.98Ti0.02,Mg1F2,973,56
Sn0.98Ti0.02,Mg1F2,1173,107
Sn0.98Ti0.02,Ba1F2,973,64
Sn0.98Ti0.02,Ba1F2,1173,31
Sn0.98Ti0.02,Ba1F2,1273,67
Sn0.98Ti0.02,Ca1F2,973,97
Sn0.98Ti0.02,Ca1F2,1173,67
Sn0.98Ti0.02,Ca1F2,1273,34
Sn0.98Ti0.02,Ca1F2,1373,92
Cu0.637Ti0.363,Mg1F2,1423,118
Ni0.752Hf0.248,Mg1F2,1423,120
Cu0.737Hf0.263,Ba1F2,1473,110
Cu0.43Ti0.57,Ca1F2,1423,119
Cu0.455Ti0.482Zr0.063,Ca1F2,1473,132
Cu,Al2O3,1423,132.4475524
Cu0.992Ti0.008,Al2O3,1423,91.04895105
Cu0.977Ti0.023,Al2O3,1423,51.32867133
Cu0.969Ti0.031,Al2O3,1423,40.6993007
Cu0.96Ti0.04,Al2O3,1423,32.30769231
Cu0.948Ti0.052,Al2O3,1423,27.27272727
Cu0.937Ti0.063,Al2O3,1423,22.7972028
Cu0.927Ti0.073,Al2O3,1423,17.2027972
Cu0.915Ti0.085,Al2O3,1423,13.84615385
Cu0.908Ti0.092,Al2O3,1423,11.60839161
Sn,Mg1F2,577,140.9755774
Sn,Mg1F2,674,136.378699
Sn,Mg1F2,777,134.3089108
Sn,Mg1F2,880,127.9683202
Sn,Mg1F2,974,124.9222918
Sn,Mg1F2,1080,119.1655897
Sn,Mg1F2,1178,115.3454618
Sn,Mg1F2,1278,114.4381483
Sn,Mg1F2,1378,109.4555456
In,Mg1F2,473,148.2871061
In,Mg1F2,573,144.0825794
In,Mg1F2,673,143.3694536
In,Mg1F2,773,139.357789
In,Mg1F2,873,130.1057096
In,Mg1F2,973,127.2538688
In,Mg1F2,1073,122.4641283
Ga,Mg1F2,373,131.7162077
Ga,Mg1F2,473,127.8987308
Ga,Mg1F2,573,126.7959042
Ga,Mg1F2,673,122.9824038
Ga,Mg1F2,773,120.9073135
Ga,Mg1F2,873,116.7041124
Ga,Mg1F2,973,116.1851741
Ga,Mg1F2,1073,112.1708586
Ga,Mg1F2,1173,110.2992345
Al,Mg1F2,973,111.5286476
Al,Mg1F2,1073,104.2131425
Al,Mg1F2,1173,103.1142923
Al,Mg1F2,1273,95.4104119
Cu,Mg1F2,1373,133.146436
Cu,Mg1F2,1433,123.0831428
Au,Mg1F2,1383,122.4687676
Ag,Mg1F2,1283,120.6548033
Sn,Ba1F2,573,144.0597015
Sn,Ba1F2,673,139.761194
Sn,Ba1F2,773,134.5671642
Sn,Ba1F2,873,132.0597015
Sn,Ba1F2,973,125.0746269
Sn,Ba1F2,1073,124
Sn,Ba1F2,1173,117.7313433
Sn,Ba1F2,1273,115.4029851
Sn,Ba1F2,1373,109.8507463
In,Ba1F2,473,150.3283582
In,Ba1F2,573,147.1044776
In,Ba1F2,673,144.7761194
In,Ba1F2,773,139.9402985
In,Ba1F2,873,138.1492537
In,Ba1F2,973,132.0597015
Ga,Ba1F2,373,139.9402985
Ga,Ba1F2,473,137.6119403
Ga,Ba1F2,573,134.7462687
Ga,Ba1F2,673,130.9850746
Ga,Ba1F2,773,126.1492537
Ga,Ba1F2,873,123.2835821
Ga,Ba1F2,973,120.4179104
Ga,Ba1F2,1073,118.2686567
Ga,Ba1F2,1173,115.2238806
Al,Ba1F2,973,117.0149254
Al,Ba1F2,1073,112.1791045
Al,Ba1F2,1173,105.1940299
Al,Ba1F2,1273,98.02985075
Cu,Ba1F2,1373,135.641791
Cu,Ba1F2,1423,130.6268657
Au,Ba1F2,1373,129.5522388
Ag,Ba1F2,1273,129.1940299
Sn,Ca1F2,573,155.0143461
Sn,Ca1F2,673,147.2157284
Sn,Ca1F2,773,142.9984028
Sn,Ca1F2,873,138.9489901
Sn,Ca1F2,973,136.6066911
Sn,Ca1F2,1073,130.8544049
Sn,Ca1F2,1173,125.9527074
Sn,Ca1F2,1273,120.881401
Sn,Ca1F2,1373,118.8800158
In,Ca1F2,473,158.8933019
In,Ca1F2,573,156.3788498
In,Ca1F2,673,152.329437
In,Ca1F2,773,146.5771509
In,Ca1F2,873,141.5066925
In,Ca1F2,973,138.8226315
In,Ca1F2,1073,135.7968085
Ga,Ca1F2,373,147.0893698
Ga,Ca1F2,473,142.0197594
Ga,Ca1F2,573,141.2073328
Ga,Ca1F2,673,137.1613122
Ga,Ca1F2,773,135.6679058
Ga,Ca1F2,873,131.7906461
Ga,Ca1F2,973,126.8923407
Ga,Ca1F2,1073,122.8446241
Ga,Ca1F2,1173,121.0103037
Cu,Ca1F2,1373,141.2098769
Cu,Ca1F2,1433,135.7781515
Au,Ca1F2,1373,135.7561024
Ag,Ca1F2,1273,133.4969117
Al0.778Si0.124Mg0.098,Si1O2,1473,85
Al0.778Si0.124Mg0.098,Si1O2,1473,77
Al0.724Si0.124Mg0.152,Si1O2,1473,73
Al0.724Si0.124Mg0.152,Si1O2,1473,68
Al0.778Si0.124Mg0.098,Si1O2,923,125.8108108
Al0.778Si0.124Mg0.098,Si1O2,1023,125
Al0.778Si0.124Mg0.098,Si1O2,1123,122.027027
Al0.778Si0.124Mg0.098,Si1O2,1223,119.7297297
Al0.778Si0.124Mg0.098,Si1O2,1323,117.7027027
Al0.778Si0.124Mg0.098,Si1O2,1373,99.18918919
Al0.778Si0.124Mg0.098,Si1O2,923,125.6756757
Al0.778Si0.124Mg0.098,Si1O2,1223,118.1081081
Al0.778Si0.124Mg0.098,Si1O2,1323,116.6216216
Al0.778Si0.124Mg0.098,Si1O2,1373,94.05405405
Al0.724Si0.124Mg0.152,Si1O2,923,125.6756757
Al0.724Si0.124Mg0.152,Si1O2,1023,122.1621622
Al0.724Si0.124Mg0.152,Si1O2,1123,106.2162162
Al0.724Si0.124Mg0.152,Si1O2,1223,100.1351351
Al0.724Si0.124Mg0.152,Si1O2,1323,96.62162162
Al0.724Si0.124Mg0.152,Si1O2,1373,89.18918919
Al0.724Si0.124Mg0.152,Si1O2,1023,118.2432432
Al0.724Si0.124Mg0.152,Si1O2,1123,101.8918919
Al0.724Si0.124Mg0.152,Si1O2,1223,96.08108108
Al0.724Si0.124Mg0.152,Si1O2,1323,91.08108108
Al0.724Si0.124Mg0.152,Si1O2,1373,85
Fe,Al2O3Si1O2,1873,77
Fe,Al2O3Si1O2,1823,105
Fe,Al2O3Si1O2,1823,79
Ag,Si1O2,1173,96
Ag0.49Cu0.49Ti0.02,Si1O2,1173,12
Ag0.47Cu0.49Ti0.04,Si1O2,1173,10
Ag0.432Cu0.49Ti0.078,Si1O2,1173,10
Ag0.47Cu0.49Ti0.04,Si1O2,1123,10
Ag0.47Cu0.49Ti0.04,Si1O2,1223,10
Cu,Si1O2,1473,117
Cu0.95Al0.05,Si1O2,1473,117
Cu0.85Al0.15,Si1O2,1473,116
Cu0.7Al0.3,Si1O2,1473,114
Cu0.5Al0.5,Si1O2,1473,95
Cu,Al2O3,1473,119.0622187
Cu0.95Al0.05,Al2O3,1473,107.2908254
Cu0.85Al0.15,Al2O3,1473,107.583014
Cu0.7Al0.3,Al2O3,1473,113.9370869
Cu0.5Al0.5,Al2O3,1473,100.853417
Cu,Al2O3,1473,115.729314
Cu0.95Al0.05,Al2O3,1473,108.8747139
Cu0.85Al0.15,Al2O3,1473,108.2502122
Cu0.7Al0.3,Al2O3,1473,109.3541501
Cu0.5Al0.5,Al2O3,1473,99.10388642
Al,Si1O2,1073,94
Al,Si1O2,1173,96
Al,Si1O2,1273,88
Al,Si1O2,1323,64
Al,Si1O2,1373,56
Al,Si1O2,1423,47
Al,Si1O2,1473,45
Al,Si1O2,1523,37
Al,Si1O2,973,148
Al,Si1O2,973,112
Al,Si1O2,1023,140
Al,Si1O2,1073,88
Al,Si1O2,1073,67
Al,Si1O2,1073,106
Al,Si1O2,1123,95
Al,Si1O2,1123,68
Al,Si1O2,1173,70
Al,Si1O2,1173,93
Al,Si1O2,1223,76
Fe,Al2O3,1823,128
Fe,Al2O3,1823,124
Fe,Al2O3,1823,121
Fe,Al2O3,1823,68
Fe,Al2O3,1823,71
Fe,Al2O3,1833,114
Fe,Al2O3Si1O2,1873,78
Ni,Al2O3,1773,119.7592344
Ni,Al2O3,1773,113.9984689
Ni,Al2O3,1773,111.4377033
Ni,Al2O3,1773,105.6784689
Ni0.983Al0.017,Al2O3,1773,100.2445933
Ni0.971Al0.029,Al2O3,1773,95.12842105
Ni0.749Al0.251,Al2O3,1773,82.71961722
Ni0.632Al0.368,Al2O3,1773,76.03712919
Ni0.603Al0.397,Al2O3,1773,75.40631579
Ni0.505Al0.495,Al2O3,1773,76.71770335
Ni0.081Al0.919,Al2O3,1773,75.57320574
Ni0.053Al0.947,Al2O3,1773,65.34239234
Al,Al2O3,1773,73.9984689
Al,Al2O3,1773,70.4784689
Al,Al2O3,1773,64.7184689
Al,Al2O3,1773,58.6384689
Fe0.704Cr0.202Ni0.094,Al2O3,1748,137.8698225
Fe0.704Cr0.202Ni0.094,Al2O3,1753,127.2189349
Fe0.704Cr0.202Ni0.094,Al2O3,1763,120.3550296
Fe0.704Cr0.202Ni0.094,Al2O3,1773,114.6745562
Fe0.704Cr0.202Ni0.094,Al2O3,1783,107.1005917
Fe0.704Cr0.202Ni0.094,Al2O3,1793,100.7100592
Fe0.704Cr0.202Ni0.094,Al2O3,1803,100
Fe0.704Cr0.202Ni0.094,Al2O3,1813,97.63313609
Fe0.704Cr0.202Ni0.094,Al2O3,1823,94.79289941
Fe0.704Cr0.202Ni0.094,Al2O3,1823,97
Fe0.704Cr0.202Ni0.094,Al2O3,1823,100
Fe0.704Cr0.202Ni0.094,Al2O3,1753,147
Fe0.704Cr0.202Ni0.094,Al2O3,1753,103
Fe0.704Cr0.202Ni0.094,Al2O3,1753,105
Fe,Mg0.5Al0.5O0.5N0.5,1823,129.6697104
Fe,Mg0.5Al0.5O0.5N0.5,1838,132.4973582
Fe,Mg0.5Al0.5O0.5N0.5,1848,130.3698485
Fe,Mg0.5Al0.5O0.5N0.5,1858,129.8729238
Fe,Mg0.5Al0.5O0.5N0.5,1873,129.532609
Fe,Mg0.5Al0.5O0.5N0.5,1823,97
Fe,Mg0.5Al0.5O0.5N0.5,1823,78
Ni,Al2O3,1743,112
Ni0.9Cr0.1,Al2O3,1743,95
Ni0.78Cr0.22,Al2O3,1743,90
Ni0.81Fe0.19,Al2O3,1743,112
Ni0.632Fe0.148Cr0.22,Al2O3,1743,90
Ni0.55Pd0.45,Al2O3,1523,112
Ni0.549Pd0.351Cr0.1,Al2O3,1523,112
Ni0.545Pd0.45Cr0.005,Al2O3,1523,108
Ni0.583Pd0.405Cr0.012,Al2O3,1523,110
Ni0.499Pd0.448Cr0.053,Al2O3,1523,107
Ni0.4Pd0.445Cr0.155,Al2O3,1523,113
Ni,Al2O3,1773,113
Ni0.95Ti0.05,Al2O3,1773,83
Ni0.936Ti0.064,Al2O3,1773,72
Ni0.871Ti0.129,Al2O3,1773,63
Ni0.852Ti0.148,Al2O3,1773,61
Ni0.803Ti0.197,Al2O3,1773,50
Ni0.74Ti0.26,Al2O3,1773,40
Ni0.9Mo0.1,Al2O3,1773,108
Ni0.861Mo0.096Ti0.043,Al2O3,1773,88
Ni0.81Mo0.09Ti0.1,Al2O3,1773,68
Ni0.78Mo0.087Ti0.133,Al2O3,1773,59
Ni0.72Mo0.08Ti0.2,Al2O3,1773,46
Ni0.675Mo0.075Ti0.25,Al2O3,1773,37
Ni0.8Mo0.2,Al2O3,1773,111
Ni0.786Mo0.196Ti0.018,Al2O3,1773,103
Ni0.758Mo0.19Ti0.052,Al2O3,1773,92
Ni0.74Mo0.185Ti0.075,Al2O3,1773,84
Ni0.717Mo0.179Ti0.104,Al2O3,1773,74
Ni0.706Mo0.177Ti0.117,Al2O3,1773,74
Ni0.672Mo0.168Ti0.16,Al2O3,1773,62
Ni0.666Mo0.167Ti0.167,Al2O3,1773,60
Ni0.633Mo0.158Ti0.209,Al2O3,1773,49
Ni0.58Mo0.42,Al2O3,1773,110
Ni0.572Mo0.414Ti0.014,Al2O3,1773,92
Ni0.552Mo0.399Ti0.049,Al2O3,1773,72
Ni0.532Mo0.385Ti0.083,Al2O3,1773,63
Ni0.521Mo0.377Ti0.102,Al2O3,1773,59
Ni0.509Mo0.369Ti0.122,Al2O3,1773,54
